company,program,category,status,qa_available,experience_required,student_only,location,remote,paid,selection_process,skills_required,direct_url,next_or_last_intake,employment_after_program,evidence,evidence_type,source_name,source_type,date_found,date_verified,last_activity,notes
Ростелеком,"«Твоя первая 2.0» (13 треков, есть IT)",стажировка,набор объявлен 29.04.2026; текущий статус не проверен,не подтверждено (есть трек IT),нет,"да (3–5 курс вуза, 3–4 курс колледжа)",80 городов,нет данных,"да, трудовой договор",нет данных,нет данных,https://www.cnews.ru/news/line/2026-04-29_rostelekom_otkryvaet_novyj,весна 2026,32% стажёров перешли в штат в 2025 (72 человека) — со слов компании,новость CNews 29.04.2026,СМИ со слов компании,CNews,media,2026-09-17,2026-09-17,2026-04-29,Сайт программы first.rt.ru не проверялся.
YADRO,"YADRO Импульс (летняя стажировка, есть тестирование)",стажировка,закрыт (06.07–15.09.2026 прошёл),да (среди 30+ направлений),нет,"да (очники 18+, со 2 курса; колледжи)","Москва, СПб, НН, Екатеринбург, Минск, удалённо",да,"да, трудовой договор",анкета → тестирование → интервью с командой,по направлению,https://edu.yadro.com/impulse/,ежегодно летом; регистрация откроется позже,«85% стажёров остались в штате» — заявление компании,официальная страница программы,заявление компании,edu.yadro.com,career_site,2026-09-17,2026-09-17,2026-09-15,
Positive Technologies,PT Start,стажировка,не проверено,не подтверждено (программа про ИБ),нет данных,нет данных,нет данных,нет данных,нет данных,нет данных,нет данных,https://ptsecurity.com/about/news/ot-osnov-ib-do-offera-positive-technologies-otkryla-novyj-nabor-na-stazhirovku-pt-start/,нет данных,нет данных,найдены только новости о наборе в ИБ,не найдено подтверждения QA,ptsecurity.com,press_release,2026-09-17,2026-09-17,нет данных,
2ГИС,Стажировки 2ГИС,стажировка,QA-стажировок не найдено,не найдено подтверждения,нет данных,нет данных,нет данных,нет данных,нет данных,нет данных,нет данных,https://job.2gis.ru/vacancies,нет данных,нет данных,"job.2gis.ru открыт 17.09.2026: 109 вакансий, junior/стажёр QA не видно (есть фильтр «Тестирование»); student.2gis.ru не открылся",официальный первоисточник,job.2gis.ru,career_site,2026-09-17,2026-09-17,2026-09-17,
Альфа-Банк,Стажёр-тестировщик (автоматизация) + программа стажировок,стажировка,активная вакансия стажёра,да,нет,нет данных,Москва,офис,нет данных,нет данных,теория тестирования; тест-дизайн; ООП; Java базово; микросервисы; БД; плюс SQL,https://youngjunior.ru/qa/jobs/59442,вакансия от 28.08.2026,нет данных,карточка вакансии (из changellenge),вакансия,YoungJunior,aggregator,2026-09-17,2026-09-17,2026-08-28,job.alfabank.ru/start-career не открылся при проверке (SSL).
Газпромбанк,GPB.Experience,стажировка,закрыт («Приём заявок завершён»),не подтверждено (есть IT-треки),нет,да/выпускники 2024–2025,"Москва, СПб, Новосибирск",гибрид,41 900–67 900 ₽ gross,нет данных,нет данных,https://gpb.fut.ru/experience/,старт в июле,«более 70% участников прошлого сезона остались в банке» — со слов организатора,страница программы на fut.ru,заявление организатора,gpb.fut.ru,career_site,2026-09-17,2026-09-17,2026,
Совкомбанк,СовкомЛаб / стажировки,школа работодателя,не проверено,не найдено подтверждения,нет данных,нет данных,нет данных,нет данных,нет данных,нет данных,нет данных,https://people.sovcombank.ru/students,нет данных,нет данных,страницы не открылись при проверке (SSL),не найдено подтверждения,people.sovcombank.ru,career_site,2026-09-17,2026-09-17,нет данных,
Банк ПСБ,Стажер-тестировщик (Старт карьеры),стажировка,активна,да,нет,да (4–6 курс),Москва,удалённо,90 000 ₽ до вычета (пропорц. часам),нет данных,"теория тестирования; тест-кейсы, чек-листы, баг-репорты в Jira; основы API, Postman/Insomnia",https://hh.ru/vacancy/136979080,опубликована 15.09.2026,«перспектива трудоустройства» — без цифр,вакансия hh.ru,вакансия,hh.ru,job_board,2026-09-17,2026-09-17,2026-09-15,
ЦФТ (Центр финансовых технологий),ШИФТ — бесплатный проект для начинающих QA (Python),школа работодателя,между наборами (последняя вакансия в архиве с 18.07.2026),да,нет,да (формат стажёрского проекта),"Новосибирск, Томск, СПб и др. (по наборам)",гибрид,бесплатно,тестовое задание + видеовизитка,Postman; тест-кейсы; основы Python; теория тестирования,https://hh.ru/vacancy/132559494,летний набор 2026 закрыт; наборы регулярные,«лучшим — предложение о работе»; статистики нет,архивная вакансия hh.ru + сайт shiftproject.ru,официальный первоисточник,hh.ru / shiftproject.ru,job_board,2026-09-17,2026-09-17,2026-07-18,
Aston,Бесплатный курс QA Java → оплачиваемая стажировка,школа работодателя,открыт (вакансии-воронки во многих городах),да,"нет, но нужна база теории, SQL и Java",нет (нужно законченное высшее или СПО),"РФ (до UTC+5), удалённо",да,курс бесплатный; стипендия на стажировке; после проекта от 45 000 ₽,анкета → обучение 2 мес. → стажировка 4 мес. → интервью на проект,теория тестирования; SQL; основы Java; JUnit/TestNG; Selenium,https://career.astondevs.ru/courses/qa-java,вакансии от 14.09.2026,"«75% выпускников присоединяются к проектам» — заявление компании, методика не раскрыта","официальная страница курса + вакансии hh.ru 137318914, 136945279",заявление компании,career.astondevs.ru,career_site,2026-09-17,2026-09-17,2026-09-14,
Bell Integrator,Бесплатная школа автотестирования на Java → найм,школа работодателя,открыт,да (автоматизация),"нет, но нужен Java Core",нет,Москва (офис 100%),нет,обучение бесплатно; до 60 000 ₽ стажёрам,"тестовое + собеседование → курс 1,5 мес. (вечером онлайн) → трудоустройство",Java Core; высшее/СПО,https://hh.ru/vacancy/136545837,вакансии от 25–27.08.2026,«трудоустраиваем к нам в штат» — текст вакансии; статистики нет,3 вакансии hh.ru,заявление компании,hh.ru,job_board,2026-09-17,2026-09-17,2026-08-27,
Перфоманс Лаб,Курс для начинающих инженеров по нагрузочному тестированию → найм,школа работодателя,открыт (старт курса 05.10.2026),да (нагрузка),нет,нет,Москва,гибрид,55 000–60 000 ₽ после найма,тестовое по программированию → лекции 6–7 недель,ООП; алгоритмы; Java или Python; MS SQL/Oracle,https://hh.ru/vacancy/136932655,05.10.2026,«возможное трудоустройство» — без цифр,вакансия hh.ru,вакансия,hh.ru,job_board,2026-09-17,2026-09-17,2026-09-15,
Т1,"Т1 Дебют: стажировка «Ручной тестировщик» (+ автотестировщик, нагрузка)",стажировка,открыт,да,нет,"да (2–3 курс бакалавриата, 2–4 специалитета, 1 магистратуры)",12+ городов РФ,да,"да, официальное оформление",анкета → резюме и тестирование → онлайн-интервью → решение,теория тестирования; REST/SOAP; TCP/IP; Linux CLI; Agile/Waterfall; микросервисы; логи,https://career.t1.ru/debut/internship/manual_qa_engineer,открыт на 17.09.2026,"«если будет подходящая вакансия, сможешь остаться»",официальная страница,официальный первоисточник,career.t1.ru,career_site,2026-09-17,2026-09-17,2026-09-17,Только граждане РФ. Открытая школа ручного тестировщика Т1 требует 1+ год опыта в IT — не для полного нуля.
Naumen,Стажёр-тестировщик (летняя стажировка),стажировка,закрыт,да,нет,нет (студенты или выпускники IT),"Екатеринбург, удалённо",да,65 000 ₽ на руки при 40 ч/нед,тестовое → анкета → интервью → приглашение,основы тест-дизайна; коммуникация; внимательность,https://www.naumen.ru/career/trainee/remote/tester/,"приём до 15 мая, стажировка 1 июля – 30 сентября (ежегодно)",«лучшим — трудоустройство в штат»,официальная страница,официальный первоисточник,naumen.ru,career_site,2026-09-17,2026-09-17,2026-05-15,
SimbirSoft,"Онлайн-стажировка (QA, SDET и др.)",стажировка,открыт 2-й поток (анонс 25.08.2026),да,нужен практический опыт проектов/хакатонов,да (студенты IT),онлайн,да,да (сумма не раскрыта),нет данных,нет данных,https://habr.com/ru/companies/simbirsoft/news/1074322/,"2-й поток, осень 2026",«возможность продолжить сотрудничество»,новость компании на Хабре,заявление компании,Хабр,company_news,2026-09-17,2026-09-17,2026-08-25,
IT_ONE,Стажировки QA,стажировка,архив / не для новичков,да,1–2 года (!),нет,"Москва, онлайн",частично,нет данных,резюме → анкета → рекрутер → техскрининг → интервью,"тест-документация, Jira, REST, SQL; в другой — AQA 2 года",https://career.habr.com/vacancies/1000167410,июль 2026,трудоустройство по ТК после стажировки,архивная вакансия Хабр Карьеры + youngjunior.ru/qa/jobs/56607,вакансии,Хабр Карьера,job_board,2026-09-17,2026-09-17,2026-09-12,"Название «стажировка», но требуется опыт — не точка входа с нуля."
Innostage,Стажировка / Академия кибербезопасности,стажировка,не проверено,не найдено подтверждения,нет данных,нет данных,нет данных,нет данных,нет данных,нет данных,нет данных,https://innostage-group.ru/internship/,нет данных,нет данных,страница не открылась при проверке,не найдено подтверждения,innostage-group.ru,career_site,2026-09-17,2026-09-17,нет данных,
Wildberries,WB Техношкола: «Инженер по тестированию»,школа работодателя,не проверено,да (курс существует),нет данных,нет данных,нет данных,нет данных,нет данных,нет данных,нет данных,https://tech.wildberries.ru/qa-engineer,нет данных,не найдено подтверждения,страница не открылась при проверке (ошибка 498),не найдено подтверждения,tech.wildberries.ru,career_site,2026-09-17,2026-09-17,нет данных,
Р-Вижн,Стажёр-тестировщик (6 мес.),стажировка,активна,да,нет,да (3 курс бак. / 1 курс маг.),удалённо по РФ,да,нет данных,нет данных,API/JSON; SQL JOIN; Git; тест-кейсы,https://hh.ru/vacancy/134492344,вакансия от 07.08.2026,«возможен переход в junior»,вакансия hh.ru,вакансия,hh.ru,job_board,2026-09-17,2026-09-17,2026-08-07,
РТЛабс,Инженер по тестированию – стажёр,стажировка,активна,да,нет,да (студент IT-вуза),Санкт-Петербург,гибрид,нет данных,нет данных,теория; SQL; HTTP; Postman; тест-кейсы,https://hh.ru/vacancy/137310191,вакансия от 14.09.2026,«возможен переход в штат»,вакансия hh.ru,вакансия,hh.ru,job_board,2026-09-17,2026-09-17,2026-09-14,
Ренью,QA-стажёр (3 мес.),стажировка,активна,да,нет,нет (самоучки с сертификатом тоже),Екатеринбург,да,50 000 ₽,7 этапов онлайн через Telegram,SQL; PostgreSQL; Postman; Charles; REST/SOAP,https://hh.ru/vacancy/137085748,вакансия от 08.09.2026,«возможна позиция junior»,вакансия hh.ru,вакансия,hh.ru,job_board,2026-09-17,2026-09-17,2026-09-08,
Доктор Веб,Младший тестировщик (Windows / Unix) без опыта,вакансии без опыта,активны,да,нет,нет,Санкт-Петербург,нет,да,нет данных,Windows или Linux продвинуто; тест-документация; сети,https://hh.ru/vacancy/119066525,вакансии от 02–03.09.2026,это сразу работа,2 вакансии hh.ru,вакансия,hh.ru,job_board,2026-09-17,2026-09-17,2026-09-03,
Яндекс Крауд,"Младший тестировщик (частичная занятость, сдельно)",краудтестинг,активна,да,"нужны курсы, стажировка или проекты",нет,удалённо,да,сдельно; трудовой договор,интервью и/или тестовое,теория и инструменты тестирования; своё устройство,https://crowd.yandex.ru/testing/test_junior_qa,страница активна,это сразу работа (частичная),официальная страница,официальный первоисточник,crowd.yandex.ru,career_site,2026-09-17,2026-09-17,2026-09-17,Похожие полные ставки «тестировщик устройств с Алисой» требуют 3+ мес. опыта автотестов.
Crowdtesting.ru,Проектное тестирование мобильных приложений,краудтестинг,активна,да,нет,нет,удалённо,да,сдельно 150–500 ₽ за баг,нет,Android с NFC; баг-репорты,https://hh.ru/vacancy/137319204,вакансия от 14.09.2026,"не работа, а подработка",вакансия hh.ru,вакансия,hh.ru,job_board,2026-09-17,2026-09-17,2026-09-14,
Правительство Москвы («Команда Москвы»),Стажировка «Тестировщик»,стажировка,закрыт (дедлайн 14.09.2026),да,"нет, но нужен опыт автотестов",да (студенты и выпускники),Москва,гибрид,до 75 000 ₽,нет данных,основы программирования; SQL; автотесты; тех. документация,https://changellenge.com/vacancy/tester-moscow-government-moscow-/,старт 15.10.2026; следующий набор не объявлен,«возможна постоянная позиция»,карточка на changellenge,агрегатор,changellenge,aggregator,2026-09-17,2026-09-17,2026-09-14,
