id,status,title,company,city,format,salary,experience_label,level,student_only,published,source_url,source_name,source_type,date_found,date_verified,last_activity,evidence,notes
hh-136721105,active,Junior QA / Младший специалист по тестированию ПО,Fora Soft,Санкт-Петербург,"офис, после ИС гибрид",57 000–90 000 ₽,не требуется,без опыта,нет,2026-08-28,https://hh.ru/vacancy/136721105,hh.ru,job_board,2026-09-17,2026-09-17,2026-08-28,страница вакансии hh.ru,Пример нового требования 2026: ИИ-инструменты у джуна.
hh-136519968,active,QA Engineer,Sputnik8,Санкт-Петербург,офис/гибрид,не указана,не требуется,без опыта,нет,2026-08-23,https://hh.ru/vacancy/136519968,hh.ru,job_board,2026-09-17,2026-09-17,2026-08-23,страница вакансии hh.ru,Дубль в агрегаторе: youngjunior.ru/qa/jobs/56488.
hh-137113401,active,Младший тестировщик ПО,МОБИ.Деньги,Санкт-Петербург,гибрид,от 50 000 ₽ на руки,не требуется,без опыта,нет,2026-09-14,https://hh.ru/vacancy/137113401,hh.ru,job_board,2026-09-17,2026-09-17,2026-09-14,страница вакансии hh.ru,
hh-136986317,active,Junior QA Engineer (Gamedev),ИП Шабатин В. В.,Санкт-Петербург,офис,не указана,не требуется,без опыта,нет,2026-09-04,https://hh.ru/vacancy/136986317,hh.ru,job_board,2026-09-17,2026-09-17,2026-09-04,страница вакансии hh.ru,
hh-136858878,active,Тестировщик ПО (Manual QA),Специальный Технологический Центр,Санкт-Петербург,офис,от 100 000 ₽,не требуется,без опыта,нет,2026-09-01,https://hh.ru/vacancy/136858878,hh.ru,job_board,2026-09-17,2026-09-17,2026-09-01,страница вакансии hh.ru,Оборонное предприятие: возможны ограничения по допуску.
hh-136420395,unclear,QA-инженер (стажер) — интенсив → стажировка,ITG Corporation / SimpleOne,Санкт-Петербург / Севастополь,"офис, частичная",не указана,не требуется,стажёр,нет,2026-08-19,https://hh.ru/vacancy/136420395,hh.ru,job_board,2026-09-17,2026-09-17,2026-08-19,страница вакансии hh.ru,"Интенсив 14–30.09.2026 уже идёт, набор на этот поток, скорее всего, закрыт. Дубль: hh.ru/vacancy/136420396."
hh-137085748,active,QA-engineer / тестировщик (стажер),Ренью,Екатеринбург,офис/удалённо/гибрид,50 000 ₽,не требуется,стажёр,нет (студенты/выпускники IT или самоучки с сертификатом),2026-09-08,https://hh.ru/vacancy/137085748,hh.ru,job_board,2026-09-17,2026-09-17,2026-09-08,страница вакансии hh.ru,"3 месяца оплачиваемой стажировки, отбор в 7 этапов через Telegram."
hh-136792634,active,Специалист по тестированию (Тестировщик),Системы документооборота,Казань,только офис,40 000 ₽,не требуется,без опыта,нет (студенты на неполную ставку),2026-08-31,https://hh.ru/vacancy/136792634,hh.ru,job_board,2026-09-17,2026-09-17,2026-08-31,страница вакансии hh.ru,
hh-136739197,active,Тестировщик ПО Junior (Web и Mobile),ИП Чувашев П. В.,Казань,удалённо,60 000 на ИС → 80 000 ₽,не требуется,без опыта,нет,2026-08-28,https://hh.ru/vacancy/136739197,hh.ru,job_board,2026-09-17,2026-09-17,2026-08-28,страница вакансии hh.ru,
hh-131501846,active,Ассистент тестировщика,БПМСОФТ,Нижний Новгород,офис,не указана,не требуется,без опыта,нет (подходит последний курс),2026-08-24,https://hh.ru/vacancy/131501846,hh.ru,job_board,2026-09-17,2026-09-17,2026-08-24,страница вакансии hh.ru,
hh-136979080,active,Стажер тестировщик,Банк ПСБ (Старт карьеры),Москва,удалённо,"90 000 ₽ до вычета, пропорц. часам",не требуется,стажёр,да (4–6 курс вуза),2026-09-15,https://hh.ru/vacancy/136979080,hh.ru,job_board,2026-09-17,2026-09-17,2026-09-15,страница вакансии hh.ru,Стажировка 6–12 мес. Дубль: youngjunior.ru/qa/jobs/61055; changellenge.
hh-133496207,active,"Стажер, QA Auto JavaScript",Ozon Банк,Санкт-Петербург,офис,не указана,не требуется,стажёр,да (3 курс и старше),2026-08-18,https://hh.ru/vacancy/133496207,hh.ru,job_board,2026-09-17,2026-09-17,2026-08-18,страница вакансии hh.ru,"Переход в штат в течение 6 мес. Похожая карточка на changellenge (Ozon, СПб)."
yj-62013,active,Junior QA / Стажер ручного тестирования,не раскрыт (пост в TG @qajoboffer),удалённо по РФ,удалённо,от 70 000 ₽,не требуется,стажёр/junior,нет (студенты/выпускники IT),2026-09-16,https://youngjunior.ru/qa/jobs/62013,YoungJunior (из Telegram),aggregator,2026-09-17,2026-09-17,2026-09-16,карточка агрегатора; первоисточник — Telegram-пост,Работодатель не назван: перед отправкой данных уточните компанию и договор (срочный на 3 мес.).
yj-61036,active,Стажёр QA-инженер (CRM с ИИ),Сбер,Сочи (дубль yj-61038),офис/гибрид,не указана,не требуется,стажёр,нет данных,2026-09-10,https://youngjunior.ru/qa/jobs/61036,YoungJunior (из карьерного сайта Сбера),aggregator,2026-09-17,2026-09-17,2026-09-10,карточка агрегатора,
yj-60540,active,Стажер-тестировщик (AQA Java),Сбер,Москва,офис,не указана,не требуется,стажёр,нет данных,2026-09-08,https://youngjunior.ru/qa/jobs/60540,YoungJunior (из карьерного сайта Сбера),aggregator,2026-09-17,2026-09-17,2026-09-08,карточка агрегатора,
yj-60112,active,Стажер Fullstack QA,МТС,Москва,офис/гибрид,не указана,не требуется,стажёр,да (3–6 курс),2026-09-07,https://youngjunior.ru/qa/jobs/60112,YoungJunior (из Telegram),aggregator,2026-09-17,2026-09-17,2026-09-07,карточка агрегатора; дубль на changellenge,
yj-58222,active,Стажер по функциональному тестированию,Сбер (СберТех),Москва,офис,не указана,не требуется,стажёр,"да (2–6 курс, очно)",2026-08-30,https://youngjunior.ru/qa/jobs/58222,YoungJunior (из карьерного сайта Сбера),aggregator,2026-09-17,2026-09-17,2026-08-30,карточка агрегатора,
yj-58196,active,Стажер QA automation (Java) [UMS],МТС,удалённо,удалённо,не указана,не требуется,стажёр,да (3–6 курс),2026-08-30,https://youngjunior.ru/qa/jobs/58196,YoungJunior (из Telegram),aggregator,2026-09-17,2026-09-17,2026-08-30,карточка агрегатора,
yj-58227,active,QA Intern,Билайн,Москва,гибрид,не указана,не требуется,стажёр,нет,2026-09-04,https://youngjunior.ru/qa/jobs/58227,YoungJunior (из changellenge),aggregator,2026-09-17,2026-09-17,2026-09-04,карточка агрегатора,Показательный пример: стажёру QA уже нужны знания LLM/агентов.
yj-59442,active,Стажер-тестировщик (автоматизация розничных продуктов),Альфа-Банк,Москва,офис,не указана,не требуется,стажёр,нет,2026-08-28,https://youngjunior.ru/qa/jobs/59442,YoungJunior (из changellenge),aggregator,2026-09-17,2026-09-17,2026-08-28,карточка агрегатора,
yj-56684,active,Стажер Auto QA Python,МТС,удалённо,удалённо,не указана,не требуется,стажёр,да (3–6 курс),2026-09-08,https://youngjunior.ru/qa/jobs/56684,YoungJunior (из Telegram),aggregator,2026-09-17,2026-09-17,2026-09-08,карточка агрегатора,
yj-56951,active,Младший тестировщик / Специалист по тестированию,Страховая группа МАКС,Москва,офис,до 70 000 ₽,не требуется (опыт — плюс),без опыта,нет,2026-09-08,https://youngjunior.ru/qa/jobs/56951,YoungJunior (из hh.ru),aggregator,2026-09-17,2026-09-17,2026-09-08,карточка агрегатора,
yj-53553,active,Стажер-тестировщик QA (удалённо),Банк Уралсиб,Казань / удалённо по РФ,удалённо,до 50 000 ₽,не требуется,стажёр,да (выпускной курс тех. направления),2026-08-17,https://youngjunior.ru/qa/jobs/53553,YoungJunior (из hh.ru),aggregator,2026-09-17,2026-09-17,2026-08-17,карточка агрегатора,Опубликована 17.08.2026 — актуальность перед откликом перепроверить.
yj-47984,unclear,QA Engineer (стажёр),VK,"Санкт-Петербург (+ Москва, Казань, Сочи, НН, Томск, удалённо)",офис/удалённо,не указана,не требуется,стажёр,нет данных,2026-08-04,https://youngjunior.ru/qa/jobs/47984,YoungJunior (из changellenge),aggregator,2026-09-17,2026-09-17,2026-08-04,карточка агрегатора,"На internship.vk.company 17.09.2026 открытых вакансий нет — перед откликом проверьте, открыт ли набор."
yj-61185,active,AI-тестировщик / Prompt QA (фриланс),не раскрыт (TG @rueventjob),удалённо,"удалённо, фриланс",≈44 000–52 000 ₽ (1 793 ₽/день + бонус),не требуется,без опыта,нет,2026-09-11,https://youngjunior.ru/qa/jobs/61185,YoungJunior (из Telegram),aggregator,2026-09-17,2026-09-17,2026-09-11,карточка агрегатора,"Работодатель не раскрыт, формат фриланс — проверить договор до начала работы."
yj-60218,active,Junior QA (тестировщик мобильной игры),ARRU GAMES,удалённо,удалённо,46 000–74 000 ₽ ($500–800),не требуется,без опыта,нет,2026-09-06,https://youngjunior.ru/qa/jobs/60218,YoungJunior (из Telegram),aggregator,2026-09-17,2026-09-17,2026-09-06,карточка агрегатора,Дубль: youngjunior.ru/qa/jobs/60177. Оплата в долларах — уточнить форму договора.
ya-35217,active,Инженер по автоматизации тестирования (стажёр) в Финтех,Яндекс,"Москва, Санкт-Петербург",офис,не указана,можно без опыта,стажёр,нет,нет даты на странице,https://yandex.ru/jobs/vacancies/inzhener-po-avtomatizatsii-testirovaniya-stazhyor-v-finteh-35217,Яндекс Карьера,career_site,2026-09-17,2026-09-17,нет даты на странице,официальный сайт вакансий Яндекса,Оплачиваемая стажировка 3–4 мес.
crowd-junior,active,Младший тестировщик,Яндекс Крауд,удалённо,"удалённо, частичная (от 10 ч/нед)",сдельная,"нет, но нужны курсы/стажировка/проекты",junior,нет,нет даты на странице,https://crowd.yandex.ru/testing/test_junior_qa,Яндекс Крауд,career_site,2026-09-17,2026-09-17,нет даты на странице,официальная страница вакансии,"Трудовой договор, частичная занятость, сдельная оплата. Похожая вакансия в СПб на hh (134608487) в архиве с 07.07.2026."
habr-1000168356,active,Функциональный тестировщик / QA инженер (стажировка),ИТ-компания «Лоция»,удалённо,"удалённо, частичная",не оплачивается,без опыта,стажёр,да (студенты технических и IT-вузов),2026-09-11,https://career.habr.com/vacancies/1000168356,Хабр Карьера,job_board,2026-09-17,2026-09-17,2026-09-11,страница вакансии Хабр Карьеры,Стажировка без оплаты — учебная практика.
t1-manual-qa,active,Стажировка «Ручной тестировщик» (Т1 Дебют),Т1,12+ городов РФ / удалённо,гибрид/удалённо,оплачивается (сумма не указана),не требуется,стажёр,"да (2–3 курс бакалавриата, 2–4 специалитета, 1 магистратуры)",страница программы,https://career.t1.ru/debut/internship/manual_qa_engineer,Т1 Карьера,career_site,2026-09-17,2026-09-17,страница программы,официальная страница программы,"Только граждане РФ. 3 месяца, 30 или 40 ч/нед, ноутбук выдают."
ya-intern-qa,active,Стажировка в тестировании (ручное и автоматизированное),Яндекс,"Москва, СПб, Екатеринбург, Сочи, Новосибирск, НН","офис, гибрид редко",оплачивается (сумма не раскрыта),"нужны знания, не опыт",стажёр,нет,набор круглый год,https://yandex.ru/yaintern/qa,Яндекс Young&&Yandex,career_site,2026-09-17,2026-09-17,набор круглый год,официальная страница стажировки,«Более 50% стажёров становятся штатными сотрудниками» — заявление компании.
tbank-tstart-qa,unclear,Т-Старт: стажировка QA-инженер,Т-Банк,офис или удалённо,офис/удалённо,оплачивается (сумма не указана),не требуется,стажёр,"нет (студенты, выпускники, начинающие)",набор летом или в течение учебного года,https://education.tbank.ru/start/quality_engineer/,Т-Образование,career_site,2026-09-17,2026-09-17,набор летом или в течение учебного года,официальная страница программы,Открыт ли набор сейчас — на странице не указано.
